Author Salesforce Affiliation number,Type of Publication,Number,Affiliate Author (First Name),Affiliate Author (Middle),Affiliate Author (Last Name),All Authors,Publication Title,Journal or Publisher title,Forthcoming,Volume number,Issue number,Page numbers,Quarter/Month,Working paper number (if applicable),Book title (if applicable),Year,Link,Note,Note2,Unsure/question,RB reviewed?,Citation,Topic Tag,Region Tag,Countries,Program Tag,Abstract,Sub-tags,When collected?,Column1,Page_Header,Effective date,FA in All Authors,All_Authors_CC,Citation_Final
,Journal Article,95,Jane,,Kim,"Richelle Vlenterie; Marleen M H J van Gelder, H Ross Anderson; Liselott Andersson; Birit F P Broekman; Gal Dubnov-Raz; Hanan El Marroun; Ema Ferreira; Emma Fransson; Frank M M A van der Heijden; Claudia B Holzman; J Jo Kim; Ali S Khashan; Betty R Kirkwood; Harold J H Kuijpers; Marius Lahti-Pulkkinen; Dan Mason; Dawn Misra; Maria Niemi; Hedvig M E Nordeng; Janet L Peacock; Kate E Pickett; Stephanie L Prady; Shahirose S Premji; Katri Räikkönen; Christine Rubertsson; Mine Sahingoz; Kiran Shaikh; Richard K Silver; Jaime Slaughter-Acey, Seyi Soremekun; Dan J Stein; Inger Sundström-Poromaa; Anne-Laure Sutter-Dallay; Henning Tiemeier; Faruk Uguz; Pinelopi Varela; Tanja G M Vrijkotte; Ursula Winterfeld; Heather J Zar; Iannis M Zervas; Judith B Prins; Monica Pop-Purceleanu; Nel Roeleveld","Associations Between Maternal Depression, Antidepressant Use During Pregnancy, and Adverse Pregnancy Outcomes: An Individual Participant Data Meta-analysis",Obstetrics and Gynecology,,138.0,4,633-646,October,,,2021,https://pubmed.ncbi.nlm.nih.gov/34623076/,,,,,,,,,,,,Summer - Maceo,,abstract-content selected,10/01/2021,Yes,"Vlenterie Richelle, Marleen M H J van Gelder, H Ross Anderson, Liselott Andersson, Birit F P Broekman, Gal Dubnov-Raz, Hanan El Marroun, Ema Ferreira, Emma Fransson, Frank M M A van der Heijden, Claudia B Holzman, J Jo Kim, Ali S Khashan, Betty R Kirkwood, Harold J H Kuijpers, Marius Lahti-Pulkkinen, Dan Mason, Dawn Misra, Maria Niemi, Hedvig M E Nordeng, Janet L Peacock, Kate E Pickett, Stephanie L Prady, Shahirose S Premji, Katri Räikkönen, Christine Rubertsson, Mine Sahingoz, Kiran Shaikh, Richard K Silver, Jaime Slaughter-Acey, Seyi Soremekun, Dan J Stein, Inger Sundström-Poromaa, Anne-Laure Sutter-Dallay, Henning Tiemeier, Faruk Uguz, Pinelopi Varela, Tanja G M Vrijkotte, Ursula Winterfeld, Heather J Zar, Iannis M Zervas, Judith B Prins, Monica Pop-Purceleanu and Nel Roeleveld","Vlenterie Richelle, Marleen M H J van Gelder, H Ross Anderson, Liselott Andersson, Birit F P Broekman, Gal Dubnov-Raz, Hanan El Marroun, Ema Ferreira, Emma Fransson, Frank M M A van der Heijden, Claudia B Holzman, J Jo Kim, Ali S Khashan, Betty R Kirkwood, Harold J H Kuijpers, Marius Lahti-Pulkkinen, Dan Mason, Dawn Misra, Maria Niemi, Hedvig M E Nordeng, Janet L Peacock, Kate E Pickett, Stephanie L Prady, Shahirose S Premji, Katri Räikkönen, Christine Rubertsson, Mine Sahingoz, Kiran Shaikh, Richard K Silver, Jaime Slaughter-Acey, Seyi Soremekun, Dan J Stein, Inger Sundström-Poromaa, Anne-Laure Sutter-Dallay, Henning Tiemeier, Faruk Uguz, Pinelopi Varela, Tanja G M Vrijkotte, Ursula Winterfeld, Heather J Zar, Iannis M Zervas, Judith B Prins, Monica Pop-Purceleanu and Nel Roeleveld. 2021. Associations Between Maternal Depression, Antidepressant Use During Pregnancy, and Adverse Pregnancy Outcomes: An Individual Participant Data Meta-analysis. Obstetrics and Gynecology 138.0, no. 4 (October): 633-646."
,Journal Article,4,Christopher,Robert,Sudfeld,Emily C Keats; Nadia Akseer; Pravheen Thurairajah; Simon Cousens; Zulfiqar A Bhutta,Multiple-micronutrient supplementation in pregnant adolescents in low- and middle-income countries: a systematic review and a meta-analysis of individual participant data,Nutrition Reviews,No,80.0,2,141-156,January,,,2022,https://pubmed.ncbi.nlm.nih.gov/33846729/,,,,,,,,,,,,Summer - Kiki,,abstract-content selected,01/01/2022,No,"Keats Emily C, Nadia Akseer, Pravheen Thurairajah, Simon Cousens and Zulfiqar A Bhutta","Keats Emily C, Nadia Akseer, Pravheen Thurairajah, Simon Cousens and Zulfiqar A Bhutta. 2022. Multiple-micronutrient supplementation in pregnant adolescents in low- and middle-income countries: a systematic review and a meta-analysis of individual participant data. Nutrition Reviews 80.0, no. 2 (January): 141-156."
,Journal Article,4,Christopher,Robert,Sudfeld,Zekun Chen; Huanhuan Yang; Dongqing Wang; Christopher R Sudfeld; Ai Zhao; Yiqian Xin; Jiawen Carmen Chen; Wafaie W Fawzi; Yan Xing; Zhihui Li,Effect of Oral Iron Supplementation on Cognitive Function among Children and Adolescents in Low- and Middle-Income Countries: A Systematic Review and Meta-Analysis,Nutrients,No,14.0,24,,December,,,2022,http://www.ncbi.nlm.nih.gov/pubmed/36558491,No page numbers.,,,yes,,,,,,,,Summer - Kiki,,abstract-content selected,12/01/2022,Yes,"Chen Zekun, Huanhuan Yang, Dongqing Wang, Christopher R Sudfeld, Ai Zhao, Yiqian Xin, Jiawen Carmen Chen, Wafaie W Fawzi, Yan Xing and Zhihui Li","Chen Zekun, Huanhuan Yang, Dongqing Wang, Christopher R Sudfeld, Ai Zhao, Yiqian Xin, Jiawen Carmen Chen, Wafaie W Fawzi, Yan Xing and Zhihui Li. 2022. Effect of Oral Iron Supplementation on Cognitive Function among Children and Adolescents in Low- and Middle-Income Countries: A Systematic Review and Meta-Analysis. Nutrients 14.0, no. 24 (December): nan."
,Journal Article,4,Christopher,Robert,Sudfeld,Zekun Chen; Huanhuan Yang; Dongqing Wang; Christopher R Sudfeld; Ai Zhao; Yiqian Xin; Jiawen Carmen Chen; Wafaie W Fawzi; Yan Xing; Zhihui Li,Effect of Oral Iron Supplementation on Cognitive Function among Children and Adolescents in Low- and Middle-Income Countries: A Systematic Review and Meta-Analysis,Nutrients,No,14.0,24,5332,December,,,2022,https://pubmed.ncbi.nlm.nih.gov/36558491/,,,Is the page number correct?,yes,,,,,,,,Summer - Kiki,,abstract-content selected,12/01/2022,Yes,"Chen Zekun, Huanhuan Yang, Dongqing Wang, Christopher R Sudfeld, Ai Zhao, Yiqian Xin, Jiawen Carmen Chen, Wafaie W Fawzi, Yan Xing and Zhihui Li","Chen Zekun, Huanhuan Yang, Dongqing Wang, Christopher R Sudfeld, Ai Zhao, Yiqian Xin, Jiawen Carmen Chen, Wafaie W Fawzi, Yan Xing and Zhihui Li. 2022. Effect of Oral Iron Supplementation on Cognitive Function among Children and Adolescents in Low- and Middle-Income Countries: A Systematic Review and Meta-Analysis. Nutrients 14.0, no. 24 (December): 5332."
,Journal Article,109,Walter,,Willet,Raphaëlle Varraso; Orianne Dumas; Fred K Tabung; Krislyn M Boggs; Teresa T Fung; Frank Hu; Edward Giovannucci; Frank E Speizer; Walter C Willett; Carlos A Camargo Jr,Healthful and Unhealthful Plant-Based Diets and Chronic Obstructive Pulmonary Disease in U.S. Adults: Prospective Study,Nutrients,,15.0,3,,February,,,2023,https://pubmed.ncbi.nlm.nih.gov/36771471/,,,,,,,,,,,,Summer - Maceo,,abstract-content selected,02/01/2023,Yes,"Varraso Raphaëlle, Orianne Dumas, Fred K Tabung, Krislyn M Boggs, Teresa T Fung, Frank Hu, Edward Giovannucci, Frank E Speizer, Walter C Willett and Carlos A Camargo Jr","Varraso Raphaëlle, Orianne Dumas, Fred K Tabung, Krislyn M Boggs, Teresa T Fung, Frank Hu, Edward Giovannucci, Frank E Speizer, Walter C Willett and Carlos A Camargo Jr. 2023. Healthful and Unhealthful Plant-Based Diets and Chronic Obstructive Pulmonary Disease in U.S. Adults: Prospective Study. Nutrients 15.0, no. 3 (February): nan."
,Journal Article,117,Wafaie,,Fawzi,Zekun Chen; Huanhuan Yang; Dongqing Wang; Christopher R Sudfeld; Ai Zhao; Yiqian Xin; Jiawen Carmen Chen; Wafaie W Fawzi; Yan Xing; Zhihui Li,Effect of Oral Iron Supplementation on Cognitive Function among Children and Adolescents in Low- and Middle-Income Countries: A Systematic Review and Meta-Analysis,Nutrients,,14.0,24,,December,,,2022,https://pubmed.ncbi.nlm.nih.gov/36558491/,,,,,,,,,,,,Summer - Maceo,,abstract-content selected,12/01/2022,Yes,"Chen Zekun, Huanhuan Yang, Dongqing Wang, Christopher R Sudfeld, Ai Zhao, Yiqian Xin, Jiawen Carmen Chen, Wafaie W Fawzi, Yan Xing and Zhihui Li","Chen Zekun, Huanhuan Yang, Dongqing Wang, Christopher R Sudfeld, Ai Zhao, Yiqian Xin, Jiawen Carmen Chen, Wafaie W Fawzi, Yan Xing and Zhihui Li. 2022. Effect of Oral Iron Supplementation on Cognitive Function among Children and Adolescents in Low- and Middle-Income Countries: A Systematic Review and Meta-Analysis. Nutrients 14.0, no. 24 (December): nan."
,Journal Article,119,Goodarz,,Danaei,Juan P González-Rivas; María M Infante-García; Ramfis Nieto-Martinez; Jeffrey I Mechanick; Goodarz Danaei,Feasibility and Effectiveness of a Preventive Care Program during the Compound Humanitarian Crisis and COVID-19 Pandemic in Venezuela,Nutrients,,14.0,5,,February,,,2022,https://pubmed.ncbi.nlm.nih.gov/35267915/,,,,,,,,,,,,Summer - Maceo,,abstract-content selected,02/01/2022,Yes,"González-Rivas Juan P, María M Infante-García, Ramfis Nieto-Martinez, Jeffrey I Mechanick and Goodarz Danaei","González-Rivas Juan P, María M Infante-García, Ramfis Nieto-Martinez, Jeffrey I Mechanick and Goodarz Danaei. 2022. Feasibility and Effectiveness of a Preventive Care Program during the Compound Humanitarian Crisis and COVID-19 Pandemic in Venezuela. Nutrients 14.0, no. 5 (February): nan."
,Journal Article,95,Jane,,Kim,Jae Jin Kim; Seo Yun Lee; Yiseul Hwang; Soyeon Kim; Jee Min Chung; Sangwook Park; Junghyun Yoon; Hansol Yun; Jae-Hoon Ji; Sunyoung Chae; Hyeseong Cho; Chan Gil Kim; Ted M Dawson; Hongtae Kim; Valina L Dawson; Ho Chul Kang,USP39 promotes non-homologous end-joining repair by poly(ADP-ribose)-induced liquid demixing,Nucleic Acids Research,,49.0,19,11083-11102,November,,,2021,https://pubmed.ncbi.nlm.nih.gov/34614178/,,,,,,,,,,,,Summer - Maceo,,abstract-content selected,11/01/2021,Yes,"Kim Jae Jin, Seo Yun Lee, Yiseul Hwang, Soyeon Kim, Jee Min Chung, Sangwook Park, Junghyun Yoon, Hansol Yun, Jae-Hoon Ji, Sunyoung Chae, Hyeseong Cho, Chan Gil Kim, Ted M Dawson, Hongtae Kim, Valina L Dawson and Ho Chul Kang","Kim Jae Jin, Seo Yun Lee, Yiseul Hwang, Soyeon Kim, Jee Min Chung, Sangwook Park, Junghyun Yoon, Hansol Yun, Jae-Hoon Ji, Sunyoung Chae, Hyeseong Cho, Chan Gil Kim, Ted M Dawson, Hongtae Kim, Valina L Dawson and Ho Chul Kang. 2021. USP39 promotes non-homologous end-joining repair by poly(ADP-ribose)-induced liquid demixing. Nucleic Acids Research 49.0, no. 19 (November): 11083-11102."
,Journal Article,95,Jane,,Kim,Mary B Makarious; Hampton L Leonard; Dan Vitale; Hirotaka Iwaki; Lana Sargent; Anant Dadu; Ivo Violich; Elizabeth Hutchins; David Saffo; Sara Bandres-Ciga; Jonggeol Jeff Kim; Yeajin Song; Melina Maleknia; Matt Bookman; Willy Nojopranoto; Roy H Campbell; Sayed Hadi Hashemi; Juan A Botia; John F Carter; David W Craig; Kendall Van Keuren-Jensen; Huw R Morris; John A Hardy; Cornelis Blauwendraat; Andrew B Singleton; Faraz Faghri; Mike A Nalls,Multi-modality machine learning predicting Parkinson's disease,NPJ Parkinsons Disease,,8.0,1,,April,,,2022,https://pubmed.ncbi.nlm.nih.gov/35365675/,,,,,,,,,,,,Summer - Maceo,,abstract-content selected,04/01/2022,Yes,"Makarious Mary B, Hampton L Leonard, Dan Vitale, Hirotaka Iwaki, Lana Sargent, Anant Dadu, Ivo Violich, Elizabeth Hutchins, David Saffo, Sara Bandres-Ciga, Jonggeol Jeff Kim, Yeajin Song, Melina Maleknia, Matt Bookman, Willy Nojopranoto, Roy H Campbell, Sayed Hadi Hashemi, Juan A Botia, John F Carter, David W Craig, Kendall Van Keuren-Jensen, Huw R Morris, John A Hardy, Cornelis Blauwendraat, Andrew B Singleton, Faraz Faghri and Mike A Nalls","Makarious Mary B, Hampton L Leonard, Dan Vitale, Hirotaka Iwaki, Lana Sargent, Anant Dadu, Ivo Violich, Elizabeth Hutchins, David Saffo, Sara Bandres-Ciga, Jonggeol Jeff Kim, Yeajin Song, Melina Maleknia, Matt Bookman, Willy Nojopranoto, Roy H Campbell, Sayed Hadi Hashemi, Juan A Botia, John F Carter, David W Craig, Kendall Van Keuren-Jensen, Huw R Morris, John A Hardy, Cornelis Blauwendraat, Andrew B Singleton, Faraz Faghri and Mike A Nalls. 2022. Multi-modality machine learning predicting Parkinson's disease. NPJ Parkinsons Disease 8.0, no. 1 (April): nan."
,Book,66,Benjamin,,Friedman,Michael Woodford; Benjamin M. Friedman,"Handbook of Monetary Economics, vol. 3",North-Holland Publishing Company and American Elsevier Publishing Company,,,,,,,,2011,https://www.sciencedirect.com/handbook/handbook-of-monetary-economics/vol/3/suppl/C,,,,,,,,,,,,Summer - Maceo,,abstract author,01/01/2011,Yes,Woodford Michael and Benjamin M. Friedman,"Woodford Michael and Benjamin M. Friedman. 2011. Handbook of Monetary Economics, vol. 3.: North-Holland Publishing Company and American Elsevier Publishing Company."
,Journal Article,94,Phyllis,,Kanki,A O Isaac; D D Wetkos; A O Oche; I Godwin; K Phyllis; A C John,"Prevalence of Cytochrome P450 2B6 Single Nucleotide Polymorphism in an HIV-Positive Cohort in Jos, Nigeria: Implication for HIV Therapy",Nigeria Journal Of Clinical Practice,,23.0,12,1736-1743,December,,,2020,https://pubmed.ncbi.nlm.nih.gov/33355828/,,,,,,,,,,,,Summer - Maceo,,abstract-content selected,12/01/2020,No,"Isaac A O, D D Wetkos, A O Oche, I Godwin, K Phyllis and A C John","Isaac A O, D D Wetkos, A O Oche, I Godwin, K Phyllis and A C John. 2020. Prevalence of Cytochrome P450 2B6 Single Nucleotide Polymorphism in an HIV-Positive Cohort in Jos, Nigeria: Implication for HIV Therapy. Nigeria Journal Of Clinical Practice 23.0, no. 12 (December): 1736-1743."
,Chapter,76,Jeffry,,Frieden,Jeffry A. Frieden,The Root Causes of Enduring Conflict: Can Israel and Palestine Co-exist,New York: Rowman and Littlefield,,,,63-75,,,Israel and Palestine: Alternative Perspectives on Statehood,2016,https://scholar.harvard.edu/files/jfrieden/files/frieden2016_israelpalestine.pdf,,No good links ,,,,,,,,,,Summer - Maceo,,pdf,01/01/2016,Yes,Frieden Jeffry A.,Skipped
,Media Article,66,Benjamin,,Friedman,Benjamin M. Friedman,Minding the Gap,New York Times Book Review,,,,,May,,,2012,https://www.nytimes.com/2012/05/27/books/review/the-great-divergence-by-timothy-noah.html,,,,,,,,,,,,Summer - Maceo,,,05/01/2012,Yes,Friedman Benjamin M.,"Friedman Benjamin M.. 2012. Minding the Gap. New York Times Book Review, nan."
,Media Article,66,Benjamin,,Friedman,Benjamin M. Friedman,The Joys of Innovation: For Profit Only,New York Review of Books,,62.0,,,November ,,,2015,https://www.nybooks.com/articles/2015/11/19/joys-innovation-profit-only/,,,,,,,,,,,,Summer - Maceo,,,,Yes,Friedman Benjamin M.,"Friedman Benjamin M.. 2015. The Joys of Innovation: For Profit Only. New York Review of Books, nan."
,Media Article,66,Benjamin,,Friedman,Benjamin M. Friedman,The Pathology of Europe's Debt,New York Review of Books,,,,,October,,,2014,https://www.nybooks.com/articles/2014/10/09/pathology-europes-debt/,,,,,,,,,,,,Summer - Maceo,,,10/01/2014,Yes,Friedman Benjamin M.,"Friedman Benjamin M.. 2014. The Pathology of Europe's Debt. New York Review of Books, nan."
,Media Article,66,Benjamin,,Friedman,Benjamin M. Friedman,Brave New Capitalists' Paradise': The Jobs?,New York Review of Books,,,,,November ,,,2013,https://www.nybooks.com/articles/2013/11/07/brave-new-capitalists-paradise-jobs/,,,,,,,,,,,,Summer - Maceo,,,,Yes,Friedman Benjamin M.,"Friedman Benjamin M.. 2013. Brave New Capitalists' Paradise': The Jobs? New York Review of Books, nan."
,Media Article,66,Benjamin,,Friedman,Benjamin M. Friedman,The Oligarchy in America Today,New York Review of Books,,,,,October,,,2012,https://www.nybooks.com/articles/2012/10/11/oligarchy-america-today/,,,,,,,,,,,,Summer - Maceo,,,10/01/2012,Yes,Friedman Benjamin M.,"Friedman Benjamin M.. 2012. The Oligarchy in America Today. New York Review of Books, nan."
,Media Article,66,Benjamin,,Friedman,Benjamin M. Friedman,Two Roads to Our Financial Catastrophe,New York Review of Books,,,,,April,,,2010,https://www.nybooks.com/articles/2010/04/29/two-roads-to-our-financial-catastrophe/,,,,,,,,,,,,Summer - Maceo,,,04/01/2010,Yes,Friedman Benjamin M.,"Friedman Benjamin M.. 2010. Two Roads to Our Financial Catastrophe. New York Review of Books, nan."
,Book,69,Michael,,Reich,Michael R Reich,What We Have Learned in the 15 Years Since this Book was Published,New Preface for Getting Health Reform Right: A Guide to Improving Performance and Equity (Anniversary Edition),,,,,,,,2019,https://www.hsph.harvard.edu/michael-reich/wp-content/uploads/sites/480/2023/05/New-preface-for-GHRR-published-2019.pdf,,No good links,,,,,,,,,,Summer - Maceo,,pdf,01/01/2019,Yes,Reich Michael R,Reich Michael R. 2019. What We Have Learned in the 15 Years Since this Book was Published.: New Preface for Getting Health Reform Right: A Guide to Improving Performance and Equity (Anniversary Edition).
,Book Chapter,46,Gordon,,Hanson,Gordon Hanson,The G20’s Role in Fostering Trade and Investment,"New Normal, New Technologies, New Financing",No,,,64-75,June,,"New 
Normal, New Technologies, New Financing",2022,https://scholar.harvard.edu/files/gordonhanson/files/hanson_gordon_the_g20s_role_in_fostering_trade_and_investment.pdf,,,,,,,,,,,,Summer - Kiki,,pdf,06/01/2022,Yes,Hanson Gordon,"Hanson Gordon. 2022. ""The G20’s Role in Fostering Trade and Investment"" in New 
Normal, New Technologies, New Financing. Vol. No.: nan: New Normal, New Technologies, New Financing."
,Chapter,76,Jeffry,,Frieden,Jeffry Frieden,The Political Economy of the Bretton Woods Agreements,New Haven: Yale University Press,,,,,,,The Bretton Woods Agreements,2019,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3355948,,,,,,,,,,,,Summer - Maceo,,abstract-text,01/01/2019,Yes,Frieden Jeffry,Skipped
,Journal Article,69,Michael,,Reich,Michael R. Reich; Kenji Shibuya,The Future of Japan’s Health System—Sustaining Good Health with Equity at Low Cost,New England Journal of Medicine,,373.0,,1793-1797,November,,,2015,https://www.nejm.org/doi/full/10.1056/NEJMp1410676,,,,,,,,,,,,Summer - Maceo,,,11/01/2015,Yes,Reich Michael R. and Kenji Shibuya,"Reich Michael R. and Kenji Shibuya. 2015. The Future of Japan’s Health System—Sustaining Good Health with Equity at Low Cost. New England Journal of Medicine 373.0, no. nan (November): 1793-1797."
,Journal Article,97,Jennifer,,Leaning,Barry S Levy; Jennifer Leaning,Russia's War in Ukraine - The Devastation of Health and Human Rights,New England Journal of Medicine,,387.0,2,102-105,July,,,2022,https://pubmed.ncbi.nlm.nih.gov/35767514/,,,,,,,,,,,,Summer - Maceo,,abstract-content selected,07/01/2022,Yes,Levy Barry S and Jennifer Leaning,"Levy Barry S and Jennifer Leaning. 2022. Russia's War in Ukraine - The Devastation of Health and Human Rights. New England Journal of Medicine 387.0, no. 2 (July): 102-105."
,Journal Article,97,Jennifer,,Leaning,Nishant Kishore; Domingo Marqués; Ayesha Mahmud; Mathew V Kiang; Irmary Rodriguez; Arlan Fuller; Peggy Ebner; Cecilia Sorensen; Fabio Racy; Jay Lemery; Leslie Maas; Jennifer Leaning; Rafael A Irizarry; Satchit Balsari; Caroline O Buckee,Mortality in Puerto Rico after Hurricane Maria,New England Journal of Medicine,,379.0,2,162-170,July,,,2018,https://pubmed.ncbi.nlm.nih.gov/29809109/,,,,,,,,,,,,Summer - Maceo,,abstract-content selected,07/01/2018,Yes,"Kishore Nishant, Domingo Marqués, Ayesha Mahmud, Mathew V Kiang, Irmary Rodriguez, Arlan Fuller, Peggy Ebner, Cecilia Sorensen, Fabio Racy, Jay Lemery, Leslie Maas, Jennifer Leaning, Rafael A Irizarry, Satchit Balsari and Caroline O Buckee","Kishore Nishant, Domingo Marqués, Ayesha Mahmud, Mathew V Kiang, Irmary Rodriguez, Arlan Fuller, Peggy Ebner, Cecilia Sorensen, Fabio Racy, Jay Lemery, Leslie Maas, Jennifer Leaning, Rafael A Irizarry, Satchit Balsari and Caroline O Buckee. 2018. Mortality in Puerto Rico after Hurricane Maria. New England Journal of Medicine 379.0, no. 2 (July): 162-170."
,Journal Article,9,Melissa,,Dell,Kaixuan Zhang; Zejiang Shen; Jie Zhou; Melissa Dell,Information Extraction from Text Regions with Complex Tabular Structure,NeurIPS Document Intelligence Workshop,No,,,,,,,2019,https://par.nsf.gov/servlets/purl/10209529,"No issue, volume, quarter/month, or page numbers.",,,,,,,,,,,Summer - Kiki,,,01/01/2019,Yes,"Zhang Kaixuan, Zejiang Shen, Jie Zhou and Melissa Dell","Zhang Kaixuan, Zejiang Shen, Jie Zhou and Melissa Dell. 2019. Information Extraction from Text Regions with Complex Tabular Structure. NeurIPS Document Intelligence Workshop nan, no. nan (nan): nan."
,Working Paper,1,Raffaella,,Sadun,Stephen Hansen; Peter John Lambert; Nick Bloom; Steven J. Davis; Raffaella Sadun; Bledi Taska,"Remote Work across Jobs, Companies, and Space",NBER Working Paper Series,No,,31007,,March,23-059,,2023,https://www.hbs.edu/ris/Publication%20Files/23-059_852dded4-85e4-44c0-bf83-699314d8031c.pdf,No Issue number or page numbers.,,Is 31007 the volume or the issue number?,yes,,,,,,,,Summer - Kiki,,pdf,03/01/2023,Yes,"Hansen Stephen, Peter John Lambert, Nick Bloom, Steven J. Davis, Raffaella Sadun and Bledi Taska","Hansen Stephen, Peter John Lambert, Nick Bloom, Steven J. Davis, Raffaella Sadun and Bledi Taska. Remote Work across Jobs, Companies, and Space. Working Paper no. 23-059. NBER Working Paper Series. 2023."
,Working Paper,2,Natalia,,Rigol,Jeffrey A. Miron; Natalia Rigol,Bank Failures and Output During the Great Depression,NBER Working Paper Series,No,,,,August,19418,,2013,https://www.hbs.edu/ris/Publication%20Files/MironandRigol2013_e000bcc1-21f4-4fb4-87a3-05bfee6fc89a.pdf,"No volume number, or page numbers.",,,yes,,,,,,,,Summer - Kiki,,pdf,08/01/2013,Yes,Miron Jeffrey A. and Natalia Rigol,Miron Jeffrey A. and Natalia Rigol. Bank Failures and Output During the Great Depression. Working Paper no. 19418. NBER Working Paper Series. 2013.
